"AgeGroup","Week_to_Election","pop_prop","from"
"18-24","6",0.108239060676646,"reg_pop"
"18-24","6",0.0486111111111111,"sample_pop"
"18-24","5",0.108239060676646,"reg_pop"
"18-24","5",0.0799561883899233,"sample_pop"
"18-24","4",0.108239060676646,"reg_pop"
"18-24","4",0.0880077369439071,"sample_pop"
"18-24","3",0.108239060676646,"reg_pop"
"18-24","3",0.0677966101694915,"sample_pop"
"18-24","2",0.108239060676646,"reg_pop"
"18-24","2",0.0585651537335286,"sample_pop"
"18-24","1",0.108239060676646,"reg_pop"
"18-24","1",0.0673736743605739,"sample_pop"
"18-24","0",0.108239060676646,"reg_pop"
"18-24","0",0.0796661608497724,"sample_pop"
"25-34","6",0.160177067452052,"reg_pop"
"25-34","6",0.0960648148148148,"sample_pop"
"25-34","5",0.160177067452052,"reg_pop"
"25-34","5",0.0920043811610077,"sample_pop"
"25-34","4",0.160177067452052,"reg_pop"
"25-34","4",0.0870406189555126,"sample_pop"
"25-34","3",0.160177067452052,"reg_pop"
"25-34","3",0.085593220338983,"sample_pop"
"25-34","2",0.160177067452052,"reg_pop"
"25-34","2",0.100292825768668,"sample_pop"
"25-34","1",0.160177067452052,"reg_pop"
"25-34","1",0.0892077354959451,"sample_pop"
"25-34","0",0.160177067452052,"reg_pop"
"25-34","0",0.0887708649468892,"sample_pop"
"35-44","6",0.160948873031557,"reg_pop"
"35-44","6",0.141203703703704,"sample_pop"
"35-44","5",0.160948873031557,"reg_pop"
"35-44","5",0.122672508214677,"sample_pop"
"35-44","4",0.160948873031557,"reg_pop"
"35-44","4",0.103481624758221,"sample_pop"
"35-44","3",0.160948873031557,"reg_pop"
"35-44","3",0.132203389830508,"sample_pop"
"35-44","2",0.160948873031557,"reg_pop"
"35-44","2",0.141288433382138,"sample_pop"
"35-44","1",0.160948873031557,"reg_pop"
"35-44","1",0.120399251403618,"sample_pop"
"35-44","0",0.160948873031557,"reg_pop"
"35-44","0",0.0986342943854325,"sample_pop"
"45-54","6",0.169831137971861,"reg_pop"
"45-54","6",0.168981481481481,"sample_pop"
"45-54","5",0.169831137971861,"reg_pop"
"45-54","5",0.144578313253012,"sample_pop"
"45-54","4",0.169831137971861,"reg_pop"
"45-54","4",0.154738878143133,"sample_pop"
"45-54","3",0.169831137971861,"reg_pop"
"45-54","3",0.176271186440678,"sample_pop"
"45-54","2",0.169831137971861,"reg_pop"
"45-54","2",0.165446559297218,"sample_pop"
"45-54","1",0.169831137971861,"reg_pop"
"45-54","1",0.163443543356207,"sample_pop"
"45-54","0",0.169831137971861,"reg_pop"
"45-54","0",0.174506828528073,"sample_pop"
"55-64","6",0.179540636160616,"reg_pop"
"55-64","6",0.230324074074074,"sample_pop"
"55-64","5",0.179540636160616,"reg_pop"
"55-64","5",0.20591456736035,"sample_pop"
"55-64","4",0.179540636160616,"reg_pop"
"55-64","4",0.200193423597679,"sample_pop"
"55-64","3",0.179540636160616,"reg_pop"
"55-64","3",0.213559322033898,"sample_pop"
"55-64","2",0.179540636160616,"reg_pop"
"55-64","2",0.237188872620791,"sample_pop"
"55-64","1",0.179540636160616,"reg_pop"
"55-64","1",0.221459762944479,"sample_pop"
"55-64","0",0.179540636160616,"reg_pop"
"55-64","0",0.224582701062215,"sample_pop"
"65_or_older","6",0.221263224707267,"reg_pop"
"65_or_older","6",0.314814814814815,"sample_pop"
"65_or_older","5",0.221263224707267,"reg_pop"
"65_or_older","5",0.35487404162103,"sample_pop"
"65_or_older","4",0.221263224707267,"reg_pop"
"65_or_older","4",0.366537717601547,"sample_pop"
"65_or_older","3",0.221263224707267,"reg_pop"
"65_or_older","3",0.324576271186441,"sample_pop"
"65_or_older","2",0.221263224707267,"reg_pop"
"65_or_older","2",0.297218155197657,"sample_pop"
"65_or_older","1",0.221263224707267,"reg_pop"
"65_or_older","1",0.338116032439177,"sample_pop"
"65_or_older","0",0.221263224707267,"reg_pop"
"65_or_older","0",0.333839150227618,"sample_pop"
