"US_Congressional_District","Voters_Gender","age_cat","EthnicGroups_EthnicGroup1Desc","CommercialData_Education","Parties_Description","count"
1,"F","18-24","East and South Asian","Bach Degree","Democratic",10
2,"F","18-24","East and South Asian","Bach Degree","Democratic",62
3,"F","18-24","East and South Asian","Bach Degree","Democratic",202
4,"F","18-24","East and South Asian","Bach Degree","Democratic",10
5,"F","18-24","East and South Asian","Bach Degree","Democratic",25
6,"F","18-24","East and South Asian","Bach Degree","Democratic",45
7,"F","18-24","East and South Asian","Bach Degree","Democratic",135
8,"F","18-24","East and South Asian","Bach Degree","Democratic",19
9,"F","18-24","East and South Asian","Bach Degree","Democratic",102
10,"F","18-24","East and South Asian","Bach Degree","Democratic",162
11,"F","18-24","East and South Asian","Bach Degree","Democratic",5
12,"F","18-24","East and South Asian","Bach Degree","Democratic",22
13,"F","18-24","East and South Asian","Bach Degree","Democratic",8
14,"F","18-24","East and South Asian","Bach Degree","Democratic",37
15,"F","18-24","East and South Asian","Bach Degree","Democratic",21
16,"F","18-24","East and South Asian","Bach Degree","Democratic",28
17,"F","18-24","East and South Asian","Bach Degree","Democratic",65
18,"F","18-24","East and South Asian","Bach Degree","Democratic",46
19,"F","18-24","East and South Asian","Bach Degree","Democratic",19
20,"F","18-24","East and South Asian","Bach Degree","Democratic",34
21,"F","18-24","East and South Asian","Bach Degree","Democratic",302
22,"F","18-24","East and South Asian","Bach Degree","Democratic",181
23,"F","18-24","East and South Asian","Bach Degree","Democratic",35
24,"F","18-24","East and South Asian","Bach Degree","Democratic",143
25,"F","18-24","East and South Asian","Bach Degree","Democratic",268
26,"F","18-24","East and South Asian","Bach Degree","Democratic",58
27,"F","18-24","East and South Asian","Bach Degree","Democratic",9
28,"F","18-24","East and South Asian","Bach Degree","Democratic",17
29,"F","18-24","East and South Asian","Bach Degree","Democratic",22
30,"F","18-24","East and South Asian","Bach Degree","Democratic",50
31,"F","18-24","East and South Asian","Bach Degree","Democratic",42
32,"F","18-24","East and South Asian","Bach Degree","Democratic",117
33,"F","18-24","East and South Asian","Bach Degree","Democratic",28
34,"F","18-24","East and South Asian","Bach Degree","Democratic",19
35,"F","18-24","East and South Asian","Bach Degree","Democratic",54
36,"F","18-24","East and South Asian","Bach Degree","Democratic",31
1,"M","18-24","East and South Asian","Bach Degree","Democratic",9
2,"M","18-24","East and South Asian","Bach Degree","Democratic",54
3,"M","18-24","East and South Asian","Bach Degree","Democratic",169
4,"M","18-24","East and South Asian","Bach Degree","Democratic",10
5,"M","18-24","East and South Asian","Bach Degree","Democratic",7
6,"M","18-24","East and South Asian","Bach Degree","Democratic",31
7,"M","18-24","East and South Asian","Bach Degree","Democratic",106
8,"M","18-24","East and South Asian","Bach Degree","Democratic",18
9,"M","18-24","East and South Asian","Bach Degree","Democratic",81
10,"M","18-24","East and South Asian","Bach Degree","Democratic",98
11,"M","18-24","East and South Asian","Bach Degree","Democratic",2
12,"M","18-24","East and South Asian","Bach Degree","Democratic",14
13,"M","18-24","East and South Asian","Bach Degree","Democratic",4
14,"M","18-24","East and South Asian","Bach Degree","Democratic",24
15,"M","18-24","East and South Asian","Bach Degree","Democratic",12
16,"M","18-24","East and South Asian","Bach Degree","Democratic",22
17,"M","18-24","East and South Asian","Bach Degree","Democratic",40
18,"M","18-24","East and South Asian","Bach Degree","Democratic",28
19,"M","18-24","East and South Asian","Bach Degree","Democratic",11
20,"M","18-24","East and South Asian","Bach Degree","Democratic",22
21,"M","18-24","East and South Asian","Bach Degree","Democratic",185
22,"M","18-24","East and South Asian","Bach Degree","Democratic",196
23,"M","18-24","East and South Asian","Bach Degree","Democratic",21
24,"M","18-24","East and South Asian","Bach Degree","Democratic",80
25,"M","18-24","East and South Asian","Bach Degree","Democratic",123
26,"M","18-24","East and South Asian","Bach Degree","Democratic",61
27,"M","18-24","East and South Asian","Bach Degree","Democratic",10
28,"M","18-24","East and South Asian","Bach Degree","Democratic",17
29,"M","18-24","East and South Asian","Bach Degree","Democratic",19
30,"M","18-24","East and South Asian","Bach Degree","Democratic",29
31,"M","18-24","East and South Asian","Bach Degree","Democratic",42
32,"M","18-24","East and South Asian","Bach Degree","Democratic",61
33,"M","18-24","East and South Asian","Bach Degree","Democratic",14
34,"M","18-24","East and South Asian","Bach Degree","Democratic",15
35,"M","18-24","East and South Asian","Bach Degree","Democratic",22
36,"M","18-24","East and South Asian","Bach Degree","Democratic",27
1,"F","25-34","East and South Asian","Bach Degree","Democratic",24
2,"F","25-34","East and South Asian","Bach Degree","Democratic",230
3,"F","25-34","East and South Asian","Bach Degree","Democratic",243
4,"F","25-34","East and South Asian","Bach Degree","Democratic",12
5,"F","25-34","East and South Asian","Bach Degree","Democratic",47
6,"F","25-34","East and South Asian","Bach Degree","Democratic",88
7,"F","25-34","East and South Asian","Bach Degree","Democratic",293
8,"F","25-34","East and South Asian","Bach Degree","Democratic",45
9,"F","25-34","East and South Asian","Bach Degree","Democratic",248
10,"F","25-34","East and South Asian","Bach Degree","Democratic",263
11,"F","25-34","East and South Asian","Bach Degree","Democratic",17
12,"F","25-34","East and South Asian","Bach Degree","Democratic",73
13,"F","25-34","East and South Asian","Bach Degree","Democratic",9
14,"F","25-34","East and South Asian","Bach Degree","Democratic",51
15,"F","25-34","East and South Asian","Bach Degree","Democratic",43
16,"F","25-34","East and South Asian","Bach Degree","Democratic",66
17,"F","25-34","East and South Asian","Bach Degree","Democratic",136
18,"F","25-34","East and South Asian","Bach Degree","Democratic",154
19,"F","25-34","East and South Asian","Bach Degree","Democratic",19
20,"F","25-34","East and South Asian","Bach Degree","Democratic",73
21,"F","25-34","East and South Asian","Bach Degree","Democratic",248
22,"F","25-34","East and South Asian","Bach Degree","Democratic",351
23,"F","25-34","East and South Asian","Bach Degree","Democratic",49
24,"F","25-34","East and South Asian","Bach Degree","Democratic",254
25,"F","25-34","East and South Asian","Bach Degree","Democratic",185
26,"F","25-34","East and South Asian","Bach Degree","Democratic",100
27,"F","25-34","East and South Asian","Bach Degree","Democratic",22
28,"F","25-34","East and South Asian","Bach Degree","Democratic",34
29,"F","25-34","East and South Asian","Bach Degree","Democratic",48
30,"F","25-34","East and South Asian","Bach Degree","Democratic",150
31,"F","25-34","East and South Asian","Bach Degree","Democratic",90
32,"F","25-34","East and South Asian","Bach Degree","Democratic",267
33,"F","25-34","East and South Asian","Bach Degree","Democratic",36
34,"F","25-34","East and South Asian","Bach Degree","Democratic",18
35,"F","25-34","East and South Asian","Bach Degree","Democratic",109
36,"F","25-34","East and South Asian","Bach Degree","Democratic",53
1,"M","25-34","East and South Asian","Bach Degree","Democratic",7
2,"M","25-34","East and South Asian","Bach Degree","Democratic",167
3,"M","25-34","East and South Asian","Bach Degree","Democratic",208
4,"M","25-34","East and South Asian","Bach Degree","Democratic",11
5,"M","25-34","East and South Asian","Bach Degree","Democratic",31
6,"M","25-34","East and South Asian","Bach Degree","Democratic",83
7,"M","25-34","East and South Asian","Bach Degree","Democratic",227
8,"M","25-34","East and South Asian","Bach Degree","Democratic",27
9,"M","25-34","East and South Asian","Bach Degree","Democratic",228
10,"M","25-34","East and South Asian","Bach Degree","Democratic",151
11,"M","25-34","East and South Asian","Bach Degree","Democratic",13
12,"M","25-34","East and South Asian","Bach Degree","Democratic",42
13,"M","25-34","East and South Asian","Bach Degree","Democratic",8
14,"M","25-34","East and South Asian","Bach Degree","Democratic",59
15,"M","25-34","East and South Asian","Bach Degree","Democratic",22
16,"M","25-34","East and South Asian","Bach Degree","Democratic",49
17,"M","25-34","East and South Asian","Bach Degree","Democratic",74
18,"M","25-34","East and South Asian","Bach Degree","Democratic",117
19,"M","25-34","East and South Asian","Bach Degree","Democratic",13
20,"M","25-34","East and South Asian","Bach Degree","Democratic",80
21,"M","25-34","East and South Asian","Bach Degree","Democratic",128
22,"M","25-34","East and South Asian","Bach Degree","Democratic",307
23,"M","25-34","East and South Asian","Bach Degree","Democratic",27
24,"M","25-34","East and South Asian","Bach Degree","Democratic",153
25,"M","25-34","East and South Asian","Bach Degree","Democratic",102
26,"M","25-34","East and South Asian","Bach Degree","Democratic",58
27,"M","25-34","East and South Asian","Bach Degree","Democratic",22
28,"M","25-34","East and South Asian","Bach Degree","Democratic",30
29,"M","25-34","East and South Asian","Bach Degree","Democratic",37
30,"M","25-34","East and South Asian","Bach Degree","Democratic",74
31,"M","25-34","East and South Asian","Bach Degree","Democratic",65
32,"M","25-34","East and South Asian","Bach Degree","Democratic",171
33,"M","25-34","East and South Asian","Bach Degree","Democratic",27
34,"M","25-34","East and South Asian","Bach Degree","Democratic",11
35,"M","25-34","East and South Asian","Bach Degree","Democratic",79
36,"M","25-34","East and South Asian","Bach Degree","Democratic",36
1,"F","35-44","East and South Asian","Bach Degree","Democratic",18
2,"F","35-44","East and South Asian","Bach Degree","Democratic",234
3,"F","35-44","East and South Asian","Bach Degree","Democratic",349
4,"F","35-44","East and South Asian","Bach Degree","Democratic",30
5,"F","35-44","East and South Asian","Bach Degree","Democratic",37
6,"F","35-44","East and South Asian","Bach Degree","Democratic",101
7,"F","35-44","East and South Asian","Bach Degree","Democratic",340
8,"F","35-44","East and South Asian","Bach Degree","Democratic",72
9,"F","35-44","East and South Asian","Bach Degree","Democratic",239
10,"F","35-44","East and South Asian","Bach Degree","Democratic",343
