"Edu","Week_to_Election","pop_prop","from"
"Bach Degree","6",0.300129639889332,"reg_pop"
"Bach Degree","6",0.332175925925926,"sample_pop"
"Bach Degree","5",0.300129639889332,"reg_pop"
"Bach Degree","5",0.290251916757941,"sample_pop"
"Bach Degree","4",0.300129639889332,"reg_pop"
"Bach Degree","4",0.285299806576402,"sample_pop"
"Bach Degree","3",0.300129639889332,"reg_pop"
"Bach Degree","3",0.320338983050847,"sample_pop"
"Bach Degree","2",0.300129639889332,"reg_pop"
"Bach Degree","2",0.3199121522694,"sample_pop"
"Bach Degree","1",0.300129639889332,"reg_pop"
"Bach Degree","1",0.323144104803493,"sample_pop"
"Bach Degree","0",0.300129639889332,"reg_pop"
"Bach Degree","0",0.309559939301973,"sample_pop"
"Grad Degree","6",0.149335373455157,"reg_pop"
"Grad Degree","6",0.174768518518519,"sample_pop"
"Grad Degree","5",0.149335373455157,"reg_pop"
"Grad Degree","5",0.178532311062432,"sample_pop"
"Grad Degree","4",0.149335373455157,"reg_pop"
"Grad Degree","4",0.15183752417795,"sample_pop"
"Grad Degree","3",0.149335373455157,"reg_pop"
"Grad Degree","3",0.194915254237288,"sample_pop"
"Grad Degree","2",0.149335373455157,"reg_pop"
"Grad Degree","2",0.174963396778917,"sample_pop"
"Grad Degree","1",0.149335373455157,"reg_pop"
"Grad Degree","1",0.182158452900811,"sample_pop"
"Grad Degree","0",0.149335373455157,"reg_pop"
"Grad Degree","0",0.187405159332322,"sample_pop"
"HS Diploma","6",0.258863249707701,"reg_pop"
"HS Diploma","6",0.251157407407407,"sample_pop"
"HS Diploma","5",0.258863249707701,"reg_pop"
"HS Diploma","5",0.231106243154436,"sample_pop"
"HS Diploma","4",0.258863249707701,"reg_pop"
"HS Diploma","4",0.277562862669246,"sample_pop"
"HS Diploma","3",0.258863249707701,"reg_pop"
"HS Diploma","3",0.21271186440678,"sample_pop"
"HS Diploma","2",0.258863249707701,"reg_pop"
"HS Diploma","2",0.23792093704246,"sample_pop"
"HS Diploma","1",0.258863249707701,"reg_pop"
"HS Diploma","1",0.22707423580786,"sample_pop"
"HS Diploma","0",0.258863249707701,"reg_pop"
"HS Diploma","0",0.230652503793627,"sample_pop"
"Less than HS Diploma","6",0.0656533702143439,"reg_pop"
"Less than HS Diploma","6",0.0439814814814815,"sample_pop"
"Less than HS Diploma","5",0.0656533702143439,"reg_pop"
"Less than HS Diploma","5",0.0525739320920044,"sample_pop"
"Less than HS Diploma","4",0.0656533702143439,"reg_pop"
"Less than HS Diploma","4",0.051257253384913,"sample_pop"
"Less than HS Diploma","3",0.0656533702143439,"reg_pop"
"Less than HS Diploma","3",0.0466101694915254,"sample_pop"
"Less than HS Diploma","2",0.0656533702143439,"reg_pop"
"Less than HS Diploma","2",0.0402635431918009,"sample_pop"
"Less than HS Diploma","1",0.0656533702143439,"reg_pop"
"Less than HS Diploma","1",0.0436681222707424,"sample_pop"
"Less than HS Diploma","0",0.0656533702143439,"reg_pop"
"Less than HS Diploma","0",0.0500758725341426,"sample_pop"
"Some College","6",0.224007533059152,"reg_pop"
"Some College","6",0.196759259259259,"sample_pop"
"Some College","5",0.224007533059152,"reg_pop"
"Some College","5",0.247535596933187,"sample_pop"
"Some College","4",0.224007533059152,"reg_pop"
"Some College","4",0.2321083172147,"sample_pop"
"Some College","3",0.224007533059152,"reg_pop"
"Some College","3",0.223728813559322,"sample_pop"
"Some College","2",0.224007533059152,"reg_pop"
"Some College","2",0.223279648609078,"sample_pop"
"Some College","1",0.224007533059152,"reg_pop"
"Some College","1",0.222083593262633,"sample_pop"
"Some College","0",0.224007533059152,"reg_pop"
"Some College","0",0.220789074355083,"sample_pop"
"Vocational Technical Degree","6",0.00201083367431357,"reg_pop"
"Vocational Technical Degree","6",0.00115740740740741,"sample_pop"
"Vocational Technical Degree","5",0.00201083367431357,"reg_pop"
"Vocational Technical Degree","5",0,"sample_pop"
"Vocational Technical Degree","4",0.00201083367431357,"reg_pop"
"Vocational Technical Degree","4",0.00193423597678917,"sample_pop"
"Vocational Technical Degree","3",0.00201083367431357,"reg_pop"
"Vocational Technical Degree","3",0.00169491525423729,"sample_pop"
"Vocational Technical Degree","2",0.00201083367431357,"reg_pop"
"Vocational Technical Degree","2",0.00366032210834553,"sample_pop"
"Vocational Technical Degree","1",0.00201083367431357,"reg_pop"
"Vocational Technical Degree","1",0.00187149095446039,"sample_pop"
"Vocational Technical Degree","0",0.00201083367431357,"reg_pop"
"Vocational Technical Degree","0",0.00151745068285281,"sample_pop"
