"HH_Composition","Week_to_Election","pop_prop","from"
"1 adult Female","6",0.121818120212634,"reg_pop"
"1 adult Female","6",0.0902777777777778,"sample_pop"
"1 adult Female","5",0.121818120212634,"reg_pop"
"1 adult Female","5",0.0843373493975904,"sample_pop"
"1 adult Female","4",0.121818120212634,"reg_pop"
"1 adult Female","4",0.0909090909090909,"sample_pop"
"1 adult Female","3",0.121818120212634,"reg_pop"
"1 adult Female","3",0.0822033898305085,"sample_pop"
"1 adult Female","2",0.121818120212634,"reg_pop"
"1 adult Female","2",0.0768667642752562,"sample_pop"
"1 adult Female","1",0.121818120212634,"reg_pop"
"1 adult Female","1",0.0829694323144105,"sample_pop"
"1 adult Female","0",0.121818120212634,"reg_pop"
"1 adult Female","0",0.0895295902883156,"sample_pop"
"1 adult Female + Children","6",0.0146590114192217,"reg_pop"
"1 adult Female + Children","6",0.0578703703703704,"sample_pop"
"1 adult Female + Children","5",0.0146590114192217,"reg_pop"
"1 adult Female + Children","5",0.0503833515881709,"sample_pop"
"1 adult Female + Children","4",0.0146590114192217,"reg_pop"
"1 adult Female + Children","4",0.051257253384913,"sample_pop"
"1 adult Female + Children","3",0.0146590114192217,"reg_pop"
"1 adult Female + Children","3",0.0677966101694915,"sample_pop"
"1 adult Female + Children","2",0.0146590114192217,"reg_pop"
"1 adult Female + Children","2",0.0592972181551977,"sample_pop"
"1 adult Female + Children","1",0.0146590114192217,"reg_pop"
"1 adult Female + Children","1",0.0530255770430443,"sample_pop"
"1 adult Female + Children","0",0.0146590114192217,"reg_pop"
"1 adult Female + Children","0",0.0622154779969651,"sample_pop"
"1 adult Male","6",0.0929944099298241,"reg_pop"
"1 adult Male","6",0.0844907407407407,"sample_pop"
"1 adult Male","5",0.0929944099298241,"reg_pop"
"1 adult Male","5",0.105147864184009,"sample_pop"
"1 adult Male","4",0.0929944099298241,"reg_pop"
"1 adult Male","4",0.0986460348162476,"sample_pop"
"1 adult Male","3",0.0929944099298241,"reg_pop"
"1 adult Male","3",0.0805084745762712,"sample_pop"
"1 adult Male","2",0.0929944099298241,"reg_pop"
"1 adult Male","2",0.0841874084919473,"sample_pop"
"1 adult Male","1",0.0929944099298241,"reg_pop"
"1 adult Male","1",0.091703056768559,"sample_pop"
"1 adult Male","0",0.0929944099298241,"reg_pop"
"1 adult Male","0",0.08649468892261,"sample_pop"
"1 adult Male & 1 adult Female","6",0.391716258893114,"reg_pop"
"1 adult Male & 1 adult Female","6",0.391203703703704,"sample_pop"
"1 adult Male & 1 adult Female","5",0.391716258893114,"reg_pop"
"1 adult Male & 1 adult Female","5",0.368017524644031,"sample_pop"
"1 adult Male & 1 adult Female","4",0.391716258893114,"reg_pop"
"1 adult Male & 1 adult Female","4",0.378143133462282,"sample_pop"
"1 adult Male & 1 adult Female","3",0.391716258893114,"reg_pop"
"1 adult Male & 1 adult Female","3",0.380508474576271,"sample_pop"
"1 adult Male & 1 adult Female","2",0.391716258893114,"reg_pop"
"1 adult Male & 1 adult Female","2",0.387262079062958,"sample_pop"
"1 adult Male & 1 adult Female","1",0.391716258893114,"reg_pop"
"1 adult Male & 1 adult Female","1",0.375545851528384,"sample_pop"
"1 adult Male & 1 adult Female","0",0.391716258893114,"reg_pop"
"1 adult Male & 1 adult Female","0",0.377845220030349,"sample_pop"
"1 adult Male & 1 adult Female + Children","6",0.113118092567863,"reg_pop"
"1 adult Male & 1 adult Female + Children","6",0.0798611111111111,"sample_pop"
"1 adult Male & 1 adult Female + Children","5",0.113118092567863,"reg_pop"
"1 adult Male & 1 adult Female + Children","5",0.0941949616648412,"sample_pop"
"1 adult Male & 1 adult Female + Children","4",0.113118092567863,"reg_pop"
"1 adult Male & 1 adult Female + Children","4",0.0918762088974855,"sample_pop"
"1 adult Male & 1 adult Female + Children","3",0.113118092567863,"reg_pop"
"1 adult Male & 1 adult Female + Children","3",0.107627118644068,"sample_pop"
"1 adult Male & 1 adult Female + Children","2",0.113118092567863,"reg_pop"
"1 adult Male & 1 adult Female + Children","2",0.101756954612006,"sample_pop"
"1 adult Male & 1 adult Female + Children","1",0.113118092567863,"reg_pop"
"1 adult Male & 1 adult Female + Children","1",0.0860885839051778,"sample_pop"
"1 adult Male & 1 adult Female + Children","0",0.113118092567863,"reg_pop"
"1 adult Male & 1 adult Female + Children","0",0.0804248861911988,"sample_pop"
"1 adult Male + Children","6",0.00396811699849363,"reg_pop"
"1 adult Male + Children","6",0.00115740740740741,"sample_pop"
