FB_page ,Election_type,Party,Location,Page_name,Page Type,Notes
https://www.facebook.com/RepublicanPartyofTexas/,All,Rep,Texas,Republican Party of Texas,Paty,
https://www.facebook.com/TexasDemocraticParty/,All,Dem,Texas,Texas Democratic Party,Party,
https://www.facebook.com/TexansForAbbott/,Governor,Rep,Texas,Greg Abbot,Incumbent Candidate,
https://www.facebook.com/LupeForTexas/,Governor,Dem,Texas,Lupe Valdez,Challenger,
https://www.facebook.com/dan.patrick.texas/,Lieutenant Governor,Rep,Texas,Dan Patrick,Incumbent Candidate,
https://www.facebook.com/CollierForTexas/,Lieutenant Governor,Dem,Texas,Mike Collier,Challenger,
https://www.facebook.com/betoorourke/,US Senate,Dem,Texas,Beto O’Rourke,Challenger,
https://www.facebook.com/tedcruzpage/,US Senate,Rep,Texas,Ted Cruz,Incumbent Candidate,
https://www.facebook.com/RepLouieGohmert/,US House,Rep,TX-01,Louie Gohmert ,Incumbent Candidate,
https://www.facebook.com/vote4McKellar,US House,Dem,TX-01,Shirley McKellar,Challenger,
https://www.facebook.com/CrenshawforCongress/,US House,Rep,TX-02,Dan Crenshaw,Incumbent Party,Only personal page available
https://www.facebook.com/toddlittonforcongress/,US House,Dem,TX-02,Todd Litton,Challenger,
https://www.facebook.com/VanForTexas/,US House,Rep,TX-03,Van Taylor ,Incumbent Party,
https://www.facebook.com/Lorieburchforcongress/,US House,Dem,TX-03,Lorie Burch,Challenger,
https://www.facebook.com/RepRatcliffe/,US House,Rep,TX-04,John Ratcliffe,Incumbent Candidate,
https://www.facebook.com/KrantzforCongress/,US House,Dem,TX-04,Cathrine Krantz ,Challenger,
https://www.facebook.com/lancegoodenfortexas/,US House,Rep,TX-05,Lance Gooden,Incumbent Party,
,US House,Dem,TX-05,Dan Wood,Challenger,
https://www.facebook.com/wright4congress/,US House,Rep,TX-06,Ron Wright,Incumbent Party,
https://www.facebook.com/JanaLynneSanchezforUSCongress/,US House,Dem,TX-06,Jana Lynne Sanchez ,Challenger,
https://www.facebook.com/johnculberson/,US House,Rep,TX-07,John Culberson,Incumbent Candidate,
https://www.facebook.com/LizzieForCongress/,US House,Dem,TX-07,Lizzie Pannill Fletcher ,Challenger,
https://www.facebook.com/BradyforTexas/,US House,Rep,TX-08,Kevin Brady,Incumbent Candidate,
https://www.facebook.com/stevenforcongress/,US House,Dem,TX-08,Steven David,Challenger,
,US House,Rep,TX-09,,,R not fielding candidate
https://www.facebook.com/repalgreen/,US House,Dem,TX-09,Al Green,Incumbent Candidate,
https://www.facebook.com/MichaelMcCaulTX/,US House,Rep,TX-10,Michael McCaul,Incumbent Candidate,
https://www.facebook.com/siegelfortexas/,US House,Dem,TX-10,Mike Siegel,Challenger,
