"","cd","res","wte","f38_central","f38_10","f38_90","f38_PRWIN","prob_win","10","50","90"
"6",0,0.512900624874017,0,0.527051548187612,0.48640527240263,0.567683307445527,0.807614285714286,0.922,0.504165409599795,0.554102712305928,0.596392252987515
"1",0,0.512900624874017,1,0.529397251128431,0.487801338151841,0.570804487598148,0.823285714285714,0.932,0.507596978935404,0.556311766749605,0.598267892077729
"2",0,0.512900624874017,2,0.529096766703431,0.487156788761827,0.570891623614094,0.819828571428571,0.906,0.500327706372639,0.544300766881105,0.592195112197576
"5",0,0.512900624874017,3,0.527583053946967,0.483868158662429,0.571210867766796,0.797571428571429,0.986,0.527118054648873,0.570006272251133,0.610596869286507
"7",0,0.512900624874017,4,0.523155815102124,0.477323571283303,0.568959005200616,0.745371428571429,0.96,0.513594889729886,0.555229227464508,0.599889436477385
"3",0,0.512900624874017,5,0.520018013306604,0.474592521572387,0.565269182718847,0.720714285714286,0.92,0.502592206423945,0.547631852154321,0.589209572524866
"4",0,0.512900624874017,6,0.519012733298448,0.473167044595616,0.564887493458922,0.705928571428571,0.976,0.521891508269696,0.562727772036438,0.609924913386537
"8",1,0.733008723879083,0,0.774898928792752,0.703071974503497,0.846696373240476,0.999928571428571,1,0.574679595404902,0.632256037058472,0.695468596508432
"11",1,0.733008723879083,1,0.774131672912916,0.70181780623838,0.846179951013663,0.999942857142857,0.996,0.565355714559845,0.622838297225139,0.685527022939139
"14",1,0.733008723879083,2,0.764467199811137,0.69117950836604,0.837445037920146,0.9999,0.99,0.557513596612989,0.61806382144979,0.678182325593429
"13",1,0.733008723879083,3,0.769956030336117,0.696874907781745,0.842697789712869,0.999914285714286,0.994,0.563659746926089,0.625605510772865,0.686822175201048
"12",1,0.733008723879083,4,0.779450174863872,0.707143594965101,0.851815780542152,0.999957142857143,0.996,0.55576220800716,0.612474308302948,0.675957894154888
"10",1,0.733008723879083,5,0.767373919202054,0.693407501401717,0.840750140171747,0.9999,0.998,0.555619139666637,0.614591566128884,0.675364955585967
"9",1,0.733008723879083,6,0.746097323457373,0.671260365331838,0.821185115235931,0.999742857142857,0.998,0.569289377038453,0.629317469414634,0.690576363022439
"16",2,0.536991869918699,0,0.535480810566418,0.475874234720349,0.595072562593575,0.788714285714286,0.952,0.514689449524581,0.563166486070238,0.610468445158031
"19",2,0.536991869918699,1,0.533512263115751,0.473620214122601,0.593211542453809,0.773328571428571,0.938,0.511409773826791,0.557709723251133,0.60554238255882
"21",2,0.536991869918699,2,0.561910701293302,0.487980162442277,0.63548487683193,0.8665,0.912,0.503370277315863,0.549885143339527,0.597765629639686
"17",2,0.536991869918699,3,0.567642211234353,0.49354833919848,0.641869719512376,0.885685714285714,0.928,0.50910536634078,0.555904089106297,0.602387795620125
"20",2,0.536991869918699,4,0.571354329071822,0.496057730856608,0.64611638231844,0.894928571428571,0.886,0.496874023065992,0.540738319867318,0.591208147198608
"18",2,0.536991869918699,5,0.560440702629664,0.485589558554947,0.635232452818982,0.857242857142857,0.884,0.497112722185231,0.542687173324532,0.588695391388028
"15",2,0.536991869918699,6,0.555585252498255,0.48048168441059,0.630956093070218,0.838085714285714,0.926,0.506099427034748,0.55136379027936,0.604965620847431
"22",3,0.55082766324769,0,0.587345966656312,0.512906995665616,0.66150386840042,0.935314285714286,0.998,0.558806508920922,0.611121187403529,0.665747581424169
"26",3,0.55082766324769,1,0.58107368452196,0.505954230092161,0.655468276157931,0.920071428571429,0.996,0.554337600402368,0.606257033028248,0.658745086251114
"28",3,0.55082766324769,2,0.574964126688265,0.500184913978017,0.649284752733029,0.905328571428571,0.996,0.546778433482395,0.599363807723648,0.650537890824428
"27",3,0.55082766324769,3,0.580910960221305,0.505806298909747,0.655956449059897,0.9194,0.996,0.552799064480618,0.606859706377499,0.660030067567142
"24",3,0.55082766324769,4,0.586547138271276,0.510554889865235,0.662184351839524,0.930385714285714,0.992,0.539008724526845,0.588794222082477,0.642624900924464
"23",3,0.55082766324769,5,0.574786609269368,0.49851329161674,0.650660512729478,0.900185714285714,0.988,0.540902842273369,0.594902069731306,0.644464542308246
"25",3,0.55082766324769,6,0.57003801831388,0.493720321306528,0.646192991020577,0.886357142857143,0.996,0.554806892406242,0.602915727839784,0.660736396590044
"31",4,0.766737567102198,0,0.79836709384043,0.727499557077895,0.869013169550582,0.999971428571429,1,0.593705875623213,0.652982603894609,0.71408325305099
"32",4,0.766737567102198,1,0.796728282052796,0.72510777771216,0.86799444870962,0.999985714285714,0.996,0.585410260692831,0.644609511052291,0.707340762369248
"30",4,0.766737567102198,2,0.7865706017835,0.714448119057462,0.858988365912715,1,0.99,0.577362841485808,0.639421307690602,0.695621205588789
"33",4,0.766737567102198,3,0.792513842746401,0.720073827980805,0.864318936877076,0.999971428571429,0.998,0.583978167901581,0.648100434035951,0.710481300274492
"29",4,0.766737567102198,4,0.802323864643005,0.730600011811256,0.873530975019193,0.999985714285714,1,0.576524597996988,0.633203338307338,0.697494350154993
"34",4,0.766737567102198,5,0.789744876867655,0.716736549932085,0.862177405067029,0.999985714285714,1,0.575295563455341,0.634742552903028,0.695969729155322
"35",4,0.766737567102198,6,0.768085985944605,0.693409319081084,0.842777416878285,0.9999,1,0.589843831967714,0.648326058715297,0.71457439204645
"39",5,0.624086495144659,0,0.642285714285714,0.5745,0.710157142857143,0.993171428571429,0.996,0.546668433026064,0.59772852477295,0.653965525648671
"37",5,0.624086495144659,1,0.637985714285714,0.569557142857143,0.705914285714286,0.991385714285714,0.98,0.536307860780953,0.589442097639735,0.648943901681599
"41",5,0.624086495144659,2,0.6314,0.562928571428571,0.6994,0.989185714285714,0.976,0.529442408983773,0.586499623426886,0.636688515148773
"42",5,0.624086495144659,3,0.638985714285714,0.570471428571429,0.707514285714286,0.991657142857143,0.982,0.534714400295502,0.592097722515987,0.64746816116556
"40",5,0.624086495144659,4,0.641914285714286,0.572957142857143,0.711171428571429,0.992285714285714,0.972,0.526071446508582,0.578760998634711,0.636564103709575
"36",5,0.624086495144659,5,0.630257142857143,0.560814285714286,0.699671428571429,0.987728571428571,0.986,0.524824458530673,0.578832265664473,0.634964208898005
"38",5,0.624086495144659,6,0.618271428571429,0.548928571428571,0.688114285714286,0.981185714285714,0.992,0.536778886800589,0.589846023631512,0.648800461669615
"45",6,0.538867464988837,0,0.544549783996579,0.487076655411881,0.601890214234109,0.849314285714286,0.978,0.520145259800444,0.566569387527215,0.617176027144654
"43",6,0.538867464988837,1,0.542904339105041,0.484882451845078,0.600911477537536,0.838185714285714,0.952,0.516329892891851,0.561521499378819,0.609269564482327
"47",6,0.538867464988837,2,0.541385209875815,0.482566885932568,0.599613580720333,0.826985714285714,0.932,0.509597383773888,0.555525983508485,0.600940894862928
"49",6,0.538867464988837,3,0.543482428586176,0.48487663879426,0.602058723768231,0.839685714285714,0.942,0.512749079831497,0.562374667171861,0.612233988077426
"48",6,0.538867464988837,4,0.545905194671073,0.486434251486405,0.605213850489075,0.848542857142857,0.924,0.504762227647133,0.546367497329257,0.60153643748728
"46",6,0.538867464988837,5,0.541204250295159,0.481227863046045,0.600900236127509,0.820742857142857,0.914,0.50182806249888,0.54941412709714,0.59554475328097
"44",6,0.538867464988837,6,0.53869877669072,0.47830064780793,0.598949341124736,0.805857142857143,0.958,0.514921022956195,0.559545270590429,0.612201992240827
"56",7,0.4747,0,0.510042857142857,0.456028571428571,0.5645,0.597185714285714,0.882,0.495747308894852,0.547341897103123,0.597517717188836
"50",7,0.4747,1,0.511685714285714,0.456857142857143,0.566342857142857,0.6075,0.85,0.491004276353907,0.540947681937729,0.590826219295879
"55",7,0.4747,2,0.513157142857143,0.459314285714286,0.567071428571429,0.622614285714286,0.812,0.486697570021735,0.534674933059812,0.58655745372571
"53",7,0.4747,3,0.510571428571429,0.457242857142857,0.564171428571429,0.602685714285714,0.856,0.48993153211146,0.540220346269365,0.589909558310122
