RACE,NAME,PARTY,CANVASS VOTES
U. S. Senator -,Ted Cruz(I),REP,4260553
U. S. Senator -,Beto O'Rourke,DEM,4045632
U. S. Senator -,Neal M. Dikeman,LIB,65470
U. S. Senator -,,Race Total,8371655
U. S. Representative District 1 -,Louie Gohmert(I),REP,168165
U. S. Representative District 1 -,Shirley J. McKellar,DEM,61263
U. S. Representative District 1 -,Jeff Callaway,LIB,3292
U. S. Representative District 1 -,,Race Total,232720
U. S. Representative District 2 -,Dan Crenshaw,REP,139188
U. S. Representative District 2 -,Todd Litton,DEM,119992
U. S. Representative District 2 -,Patrick Gunnels,LIB,2373
U. S. Representative District 2 -,Scott Cubbler,IND,1839
U. S. Representative District 2 -,,Race Total,263392
U. S. Representative District 3 -,Van Taylor,REP,169520
U. S. Representative District 3 -,Lorie Burch,DEM,138234
U. S. Representative District 3 -,Christopher J. Claytor,LIB,4604
U. S. Representative District 3 -,Jeff Simmons,W-I,153
U. S. Representative District 3 -,,Race Total,312511
U. S. Representative District 4 -,John Ratcliffe(I),REP,188667
U. S. Representative District 4 -,Catherine Krantz,DEM,57400
U. S. Representative District 4 -,Ken Ashby,LIB,3178
U. S. Representative District 4 -,,Race Total,249245
U. S. Representative District 5 -,Lance Gooden,REP,130617
U. S. Representative District 5 -,Dan Wood,DEM,78666
U. S. Representative District 5 -,Phil Gray,W-I,224
U. S. Representative District 5 -,,Race Total,209507
U. S. Representative District 6 -,Ron Wright,REP,135961
U. S. Representative District 6 -,Jana Lynne Sanchez,DEM,116350
U. S. Representative District 6 -,Jason Allen Harber,LIB,3731
U. S. Representative District 6 -,,Race Total,256042
U. S. Representative District 7 -,John Culberson(I),REP,115642
U. S. Representative District 7 -,Lizzie Pannill Fletcher,DEM,127959
U. S. Representative District 7 -,,Race Total,243601
U. S. Representative District 8 -,Kevin Brady(I),REP,200619
U. S. Representative District 8 -,Steven David,DEM,67930
U. S. Representative District 8 -,Chris Duncan,LIB,4621
U. S. Representative District 8 -,,Race Total,273170
U. S. Representative District 9 -,Al Green(I),DEM,136256
U. S. Representative District 9 -,Phil Kurtz,LIB,5940
U. S. Representative District 9 -,Benjamin Hernandez,IND,5774
U. S. Representative District 9 -,Kesha Rogers,IND,5031
U. S. Representative District 9 -,,Race Total,153001
U. S. Representative District 10 -,Michael T. McCaul(I),REP,157166
U. S. Representative District 10 -,Mike Siegel,DEM,144034
U. S. Representative District 10 -,Mike Ryan,LIB,6627
U. S. Representative District 10 -,,Race Total,307827
U. S. Representative District 11 -,Mike Conaway(I),REP,176603
U. S. Representative District 11 -,Jennie Lou Leeder,DEM,40631
U. S. Representative District 11 -,Rhett Rosenquest Smith,LIB,3143
U. S. Representative District 11 -,,Race Total,220377
U. S. Representative District 12 -,Kay Granger(I),REP,172557
U. S. Representative District 12 -,Vanessa Adia,DEM,90994
U. S. Representative District 12 -,Jacob Leddy,LIB,4940
U. S. Representative District 12 -,,Race Total,268491
U. S. Representative District 13 -,Mac Thornberry(I),REP,169027
U. S. Representative District 13 -,Greg Sagan,DEM,35083
U. S. Representative District 13 -,Calvin DeWeese,LIB,3175
U. S. Representative District 13 -,,Race Total,207285
U. S. Representative District 14 -,Randy Weber(I),REP,138942
U. S. Representative District 14 -,Adrienne Bell,DEM,92212
U. S. Representative District 14 -,Don E. Conley III,LIB,3374
U. S. Representative District 14 -,,Race Total,234528
U. S. Representative District 15 -,Tim Westley,REP,63862
U. S. Representative District 15 -,Vicente Gonzalez(I),DEM,98333
U. S. Representative District 15 -,Anthony Cristo,LIB,2607
U. S. Representative District 15 -,,Race Total,164802
U. S. Representative District 16 -,Rick Seeberger,REP,49127
U. S. Representative District 16 -,Veronica Escobar,DEM,124437
U. S. Representative District 16 -,Ben Mendoza,IND,8147
U. S. Representative District 16 -,Sam Williams,W-I,43
U. S. Representative District 16 -,,Race Total,181754
U. S. Representative District 17 -,Bill Flores(I),REP,134841
U. S. Representative District 17 -,Rick Kennedy,DEM,98070
U. S. Representative District 17 -,Peter Churchman,LIB,4440
U. S. Representative District 17 -,,Race Total,237351
U. S. Representative District 18 -,Ava Reynero Pate,REP,38368
U. S. Representative District 18 -,Sheila Jackson Lee(I),DEM,138704
U. S. Representative District 18 -,Luke Spencer,LIB,4067
U. S. Representative District 18 -,Vince Duncan,IND,3193
U. S. Representative District 18 -,,Race Total,184332
U. S. Representative District 19 -,Jodey Arrington(I),REP,151946
U. S. Representative District 19 -,Miguel Levario,DEM,50039
U. S. Representative District 19 -,,Race Total,201985
U. S. Representative District 20 -,Joaquin Castro(I),DEM,139038
U. S. Representative District 20 -,Jeffrey Blunt,LIB,32925
U. S. Representative District 20 -,,Race Total,171963
U. S. Representative District 21 -,Chip Roy,REP,177654
U. S. Representative District 21 -,Joseph Kopser,DEM,168421
U. S. Representative District 21 -,Lee Santos,LIB,7542
U. S. Representative District 21 -,,Race Total,353617
U. S. Representative District 22 -,Pete Olson(I),REP,152750
U. S. Representative District 22 -,Sri Preston Kulkarni,DEM,138153
U. S. Representative District 22 -,John B. McElligott,LIB,3261
U. S. Representative District 22 -,Kellen Sweny,IND,3241
U. S. Representative District 22 -,,Race Total,297405
U. S. Representative District 23 -,Will Hurd(I),REP,103285
U. S. Representative District 23 -,Gina Ortiz Jones,DEM,102359
U. S. Representative District 23 -,Ruben Corvalan,LIB,4425
U. S. Representative District 23 -,,Race Total,210069
U. S. Representative District 24 -,Kenny E Marchant(I),REP,133317
U. S. Representative District 24 -,Jan McDowell,DEM,125231
U. S. Representative District 24 -,Mike Kolls,LIB,4870
U. S. Representative District 24 -,,Race Total,263418
U. S. Representative District 25 -,Roger Williams(I),REP,163023
U. S. Representative District 25 -,Julie Oliver,DEM,136385
U. S. Representative District 25 -,Desarae Lindsey,LIB,5145
U. S. Representative District 25 -,,Race Total,304553
U. S. Representative District 26 -,Michael C. Burgess(I),REP,185551
U. S. Representative District 26 -,Linsey Fagan,DEM,121938
U. S. Representative District 26 -,Mark Boler,LIB,5016
U. S. Representative District 26 -,,Race Total,312505
U. S. Representative District 27 -,Michael Cloud,REP,125118
U. S. Representative District 27 -,Eric Holguin,DEM,75929
U. S. Representative District 27 -,Daniel Tinus,LIB,2100
U. S. Representative District 27 -,James Duerr,IND,4274
U. S. Representative District 27 -,,Race Total,207421
U. S. Representative District 28 -,Henry Cuellar(I),DEM,117494
U. S. Representative District 28 -,Arthur Thomas IV,LIB,21732
U. S. Representative District 28 -,,Race Total,139226
U. S. Representative District 29 -,Phillip Aronoff,REP,28098
U. S. Representative District 29 -,Sylvia R. Garcia,DEM,88188
U. S. Representative District 29 -,Cullen Burns,LIB,1199
U. S. Representative District 29 -,Johnathan Garza,W-I,9
U. S. Representative District 29 -,,Race Total,117494
U. S. Representative District 30 -,Eddie Bernice Johnson(I),DEM,166784
U. S. Representative District 30 -,Shawn Jones,LIB,16390
U. S. Representative District 30 -,,Race Total,183174
U. S. Representative District 31 -,John Carter(I),REP,144680
U. S. Representative District 31 -,"Mary Jennings ""MJ"" Hegar",DEM,136362
U. S. Representative District 31 -,Jason Hope,LIB,4965
U. S. Representative District 31 -,,Race Total,286007
U. S. Representative District 32 -,Pete Sessions(I),REP,126101
