RACE,NAME,PARTY,CANVASS VOTES
President/Vice-President,Donald J. Trump / Mike Pence,REP,4685047
President/Vice-President,Hillary Clinton / Tim Kaine,DEM,3877868
President/Vice-President,Gary Johnson / William Weld,LIB,283492
President/Vice-President,Jill Stein / Ajamu Baraka,GRN,71558
President/Vice-President,Tony Valdivia / Aaron Barriere,W-I,428
President/Vice-President,Emidio Soltysik / Angela Walker,W-I,72
President/Vice-President,Laurence Kotlikoff / Edward Leamer,W-I,1037
President/Vice-President,Jonathan Lee / Jeffrey Erskine,W-I,67
President/Vice-President,Michael A. Maturen / Juan A. Munoz,W-I,1401
President/Vice-President,Monica Moorehead / Lamont Lilly,W-I,122
President/Vice-President,Scott Cubbler / Michael Rodriguez,W-I,314
President/Vice-President,Evan McMullin / Nathan Johnson,W-I,42366
President/Vice-President,Dale Steffes / Paul E. Case,W-I,71
President/Vice-President,Cherunda Fox / Roger Kushner,W-I,45
President/Vice-President,Darrell L. Castle / Scott N. Bradley,W-I,4261
President/Vice-President,Tom Hoefling / Steve Schulin,W-I,932
President/Vice-President,Robert Morrow / Todd Sanders,W-I,145
President/Vice-President,,Race Total,8969226
U. S. Representative District 1,Louie Gohmert(I),REP,192434
U. S. Representative District 1,Shirley J. McKellar,DEM,62847
U. S. Representative District 1,Phil Gray,LIB,5062
U. S. Representative District 1,Renee Culler,W-I,66
U. S. Representative District 1,,Race Total,260409
U. S. Representative District 2,Ted Poe(I),REP,168692
U. S. Representative District 2,Pat Bryan,DEM,100231
U. S. Representative District 2,James B. Veasaw,LIB,6429
U. S. Representative District 2,Joshua Darr,GRN,2884
U. S. Representative District 2,,Race Total,278236
U. S. Representative District 3,Sam Johnson(I),REP,193684
U. S. Representative District 3,Adam P. Bell,DEM,109420
U. S. Representative District 3,Scott Jameson,LIB,10448
U. S. Representative District 3,Paul Blair,GRN,2915
U. S. Representative District 3,,Race Total,316467
U. S. Representative District 4,John Ratcliffe(I),REP,216643
U. S. Representative District 4,Cody Wommack,LIB,29577
U. S. Representative District 4,,Race Total,246220
U. S. Representative District 5,Jeb Hensarling(I),REP,155469
U. S. Representative District 5,Ken Ashby,LIB,37406
U. S. Representative District 5,,Race Total,192875
U. S. Representative District 6,Joe Barton(I),REP,159444
