"wte","el_type","Voters_Gender","age_cat","EthnicGroups_EthnicGroup1Desc","CommercialData_Education","Parties_Description"
"4",0,"M","55-64","European","HS Diploma","Democratic"
"3",0,"M","55-64","European","HS Diploma","Democratic"
"6",0,"M","25-34","European","Bach Degree","Republican"
"4",0,"M","55-64","European","Some College","Democratic"
"1",0,"M","55-64","European","HS Diploma","Democratic"
"3",1,"M","45-54","East and South Asian","Bach Degree","Republican"
"6",1,"F","45-54","European","Bach Degree","Non-Partisan"
"4",1,"M","45-54","Hispanic and Portuguese","HS Diploma","Democratic"
"0",0,"M","45-54","Hispanic and Portuguese","HS Diploma","Democratic"
"5",1,"M","45-54","Hispanic and Portuguese","HS Diploma","Democratic"
"5",0,"M","25-34","European","Grad Degree","Non-Partisan"
"2",0,"M","25-34","European","Grad Degree","Non-Partisan"
"2",0,"M","35-44","European","HS Diploma","Republican"
"5",0,"F","35-44","Hispanic and Portuguese","Bach Degree","Democratic"
"6",1,"F","35-44","European","Some College","Democratic"
"6",0,"F","55-64","European","Grad Degree","Democratic"
"3",0,"F","55-64","European","Grad Degree","Democratic"
"2",0,"F","55-64","European","Grad Degree","Democratic"
"3",0,"M","25-34","European","Bach Degree","Democratic"
"4",0,"F","25-34","European","Grad Degree","Democratic"
"3",0,"M","55-64","European","Bach Degree","Republican"
"1",0,"F","55-64","European","Bach Degree","Democratic"
"3",0,"F","35-44","European","HS Diploma","Republican"
"3",0,"F","35-44","European","HS Diploma","Republican"
"2",0,"F","35-44","European","HS Diploma","Republican"
"1",0,"F","35-44","European","HS Diploma","Republican"
"1",0,"F","35-44","European","HS Diploma","Republican"
"0",0,"F","35-44","European","HS Diploma","Republican"
"0",0,"F","35-44","European","HS Diploma","Republican"
"0",0,"M","65_or_older","European","Grad Degree","Democratic"
"2",0,"M","55-64","Hispanic and Portuguese","HS Diploma","Republican"
"0",0,"M","55-64","Hispanic and Portuguese","HS Diploma","Republican"
"0",0,"M","55-64","Hispanic and Portuguese","HS Diploma","Republican"
"4",1,"F","35-44","European","HS Diploma","Democratic"
"6",0,"M","35-44","European","Bach Degree","Democratic"
"3",0,"F","65_or_older","European","Grad Degree","Democratic"
"3",0,"M","55-64","European","Bach Degree","Democratic"
"4",0,"M","35-44","European","Bach Degree","Democratic"
"6",0,"M","25-34","European","Bach Degree","Democratic"
"2",0,"F","45-54","European","Bach Degree","Democratic"
"3",0,"F","25-34","European","HS Diploma","Democratic"
"0",0,"M","35-44","European","Bach Degree","Democratic"
"2",1,"F","45-54","European","Some College","Democratic"
"5",0,"F","65_or_older","European","Bach Degree","Republican"
"4",0,"F","45-54","European","Bach Degree","Democratic"
"1",0,"F","65_or_older","European","Bach Degree","Republican"
"5",1,"M","45-54","European","Bach Degree","Democratic"
"5",1,"M","45-54","European","Bach Degree","Democratic"
"0",1,"M","45-54","European","Bach Degree","Democratic"
"6",0,"F","65_or_older","European","Grad Degree","Republican"
"2",0,"F","45-54","European","HS Diploma","Democratic"
"2",0,"F","45-54","European","HS Diploma","Democratic"
"4",0,"F","65_or_older","Hispanic and Portuguese","Grad Degree","Republican"
"4",0,"M","65_or_older","Hispanic and Portuguese","HS Diploma","Democratic"
"6",0,"M","65_or_older","European","Grad Degree","Democratic"
"6",0,"M","65_or_older","European","Grad Degree","Democratic"
"6",0,"M","65_or_older","European","Grad Degree","Democratic"
