U.S. House,,FL-15,,NOV 5,B-St. Pete Polls,1194,LV,Carlson,44%,46%,Spano,Spano,2
U.S. House,,OH-1,,NOV 2-4,Change Research*,457,LV,Pureval,44%,47%,Chabot,Chabot,3
U.S. House,,OH-4,,NOV 2-4,Change Research,350,LV,Garrett,36%,60%,Jordan,Jordan,24
U.S. House,,GA-3,,OCT 15-16,BPublic Policy Polling*,681,V,Enderlin,26%,56%,Ferguson,Ferguson,30
"Nov. 4, 2018",,,,,,,,,,,,,
U.S. House,,MI-8,,02/11/04,Change Research*,501,LV,Slotkin,47.00%,46.00%,Bishop,Slotkin,1
U.S. House,,MI-6,,02/11/04,Change Research*,460,LV,Longjohn,42.00%,40.00%,Upton,Longjohn,2
U.S. House,,VA-2,,02/11/04,Change Research*,710,LV,Luria,47.00%,47.00%,Taylor,,EVEN
U.S. House,,NC-13,,02/11/04,Change Research*,567,LV,Manning,43.00%,43.00%,Budd,,EVEN
U.S. House,,GA-6,,02/11/04,Change Research*,395,LV,McBath,51.00%,45.00%,Handel,McBath,6
U.S. House,,MT-1,,02/11/04,Change Research,879,LV,Williams,44.00%,52.00%,Gianforte,Gianforte,8
U.S. House,,WY-1,,02/11/04,Change Research,858,LV,Hunter,28.00%,55.00%,Cheney,Cheney,27
U.S. House,,SD-1,,02/11/04,Change Research,851,LV,Bjorkman,41.00%,51.00%,Johnson,Johnson,10
U.S. House,,SD-1,,01/11/04,B+Emerson College,514,LV,Bjorkman,38.00%,54.00%,Johnson,Johnson,16
U.S. House,,NV-4,,01/11/04,B+Emerson College,263,LV,Horsford,48.00%,44.00%,Hardy,Horsford,4
U.S. House,,NV-3,,01/11/04,B+Emerson College,332,LV,Lee,51.00%,41.00%,Tarkanian,Lee,9
U.S. House,,NV-2,,01/11/04,B+Emerson College,365,LV,Koble,37.00%,58.00%,Amodei,Amodei,21
U.S. House,,NV-1,,01/11/04,B+Emerson College,238,LV,Titus,58.00%,28.00%,Bentley,Titus,30
U.S. House,,NH-2,,01/11/04,BUniversity of New Hampshire,321,LV,Kuster,56.00%,35.00%,Negron,Kuster,21
U.S. House,,NH-1,,01/11/04,BUniversity of New Hampshire,309,LV,Pappas,53.00%,40.00%,Edwards,Pappas,13
"Nov. 3, 2018",,,,,,,,,,,,,
U.S. House,,WI-6,,OCT 29-NOV 3,JMC Analytics / Bold Blue Campaigns,500,LV,Kohl,33.00%,61.00%,Grothman,Grothman,28
U.S. House,,OH-7,,OCT 31-NOV 1,C-Optimus,800,LV,Harbaugh,36.00%,55.00%,Gibbs,Gibbs,18
U.S. House,,AZ-1,,OCT 31-NOV 1,C-Optimus,756,LV,O'Halleran,48.00%,45.00%,Rogers,O'Halleran,2
U.S. House,,NM-2,,OCT 26-NOV 1,"AResearch & Polling, Inc.",413,LV,Small,45.00%,46.00%,Herrell,Herrell,1
U.S. House,,NM-1,,OCT 26-NOV 1,"AResearch & Polling, Inc.",419,LV,Haaland,50.00%,38.00%,Arnold-Jones,Haaland,12
"Nov. 2, 2018",,,,,,,,,,,,,
U.S. House,,KY-6,,01/11/04,ASiena College/New York Times,438,RV,McGrath,38.00%,47.00%,Barr,Barr,9
U.S. House,,KY-6,,01/11/04,ASiena College/New York Times,438,LV,McGrath,44.00%,44.00%,Barr,,EVEN
U.S. House,,IA-4,,OCT 31-NOV 4,ASiena College/New York Times,423,RV,Scholten,40.00%,45.00%,King,King,5
U.S. House,,IA-4,,OCT 31-NOV 4,ASiena College/New York Times,423,LV,Scholten,42.00%,47.00%,King,King,5
U.S. House,,IL-14,,OCT 31-NOV 4,ASiena College/New York Times,428,RV,Underwood,45.00%,39.00%,Hultgren,Underwood,6
U.S. House,,IL-14,,OCT 31-NOV 4,ASiena College/New York Times,428,LV,Underwood,49.00%,43.00%,Hultgren,Underwood,5
U.S. House,,CO-3,,OCT 27-NOV 2,JMC Analytics / Bold Blue Campaigns,500,LV,Mitsch Bush,41.00%,46.00%,Tipton,Tipton,5
"Nov. 1, 2018",,,,,,,,,,,,,
U.S. House,,NY-22,,01/11/04,ASiena College/New York Times,506,RV,Brindisi,40.00%,46.00%,Tenney,Tenney,6
U.S. House,,NY-22,,01/11/04,ASiena College/New York Times,506,LV,Brindisi,45.00%,46.00%,Tenney,Tenney,1
U.S. House,,NY-19,,01/11/04,ASiena College/New York Times,505,RV,Delgado,39.00%,38.00%,Faso,Delgado,1
U.S. House,,NY-19,,01/11/04,ASiena College/New York Times,505,LV,Delgado,43.00%,42.00%,Faso,Delgado,2
U.S. House,,MI-8,,OCT 31-NOV 4,ASiena College/New York Times,447,RV,Slotkin,43.00%,38.00%,Bishop,Slotkin,5
U.S. House,,MI-8,,OCT 31-NOV 4,ASiena College/New York Times,447,LV,Slotkin,49.00%,42.00%,Bishop,Slotkin,7
U.S. House,,WA-8,,OCT 30-NOV 4,ASiena College/New York Times,477,RV,Schrier,45.00%,46.00%,Rossi,,EVEN
U.S. House,,WA-8,,OCT 30-NOV 4,ASiena College/New York Times,477,LV,Schrier,48.00%,45.00%,Rossi,Schrier,3
U.S. House,,CA-48,,OCT 29-NOV 4,ASiena College/New York Times,491,RV,Rouda,45.00%,41.00%,Rohrabacher,Rouda,4
U.S. House,,CA-48,,OCT 29-NOV 4,ASiena College/New York Times,491,LV,Rouda,46.00%,45.00%,Rohrabacher,Rouda,2
U.S. House,,TX-32,,OCT 29-NOV 4,ASiena College/New York Times,477,RV,Allred,46.00%,36.00%,Sessions,Allred,10
U.S. House,,TX-32,,OCT 29-NOV 4,ASiena College/New York Times,477,LV,Allred,46.00%,42.00%,Sessions,Allred,4
U.S. House,,GA-6,,OCT 28-NOV 4,ASiena College/New York Times,421,RV,McBath,49.00%,40.00%,Handel,McBath,9
U.S. House,,GA-6,,OCT 28-NOV 4,ASiena College/New York Times,421,LV,McBath,46.00%,44.00%,Handel,McBath,2
U.S. House,,VT-1,,OCT 30-NOV 1,C+Gravis Marketing,885,LV,Welch,66.00%,28.00%,Tynio,Welch,38
U.S. House,,IA-4,,OCT 29-NOV 1,B+Emerson College,356,LV,Scholten,42.00%,51.00%,King,King,9
U.S. House,,IA-3,,OCT 29-NOV 1,B+Emerson College,380,LV,Axne,46.00%,45.00%,Young,Axne,1
U.S. House,,IA-2,,OCT 29-NOV 1,B+Emerson College,373,LV,Loebsack,53.00%,40.00%,Peters,Loebsack,13
U.S. House,,IA-1,,OCT 29-NOV 1,B+Emerson College,353,LV,Finkenauer,53.00%,41.00%,Blum,Finkenauer,12
U.S. House,,CA-49,,OCT 29-NOV 1,ASurveyUSA,500,LV,Levin,51.00%,44.00%,Harkey,Levin,7
U.S. House,,CA-48,,OCT 30-31,Thomas Part­ners Strategies,440,LV,Rouda,42.00%,51.00%,Rohrabacher,Rohrabacher,9
U.S. House,,NY-27,,OCT 29-30,B-Dixie Strategies,801,LV,McMurray,38.00%,45.00%,Collins,Collins,7
U.S. House,,CA-48,,OCT 18-19,Thomas Part­ners Strategies,440,LV,Rouda,41.00%,49.00%,Rohrabacher,Rohrabacher,8
"Oct. 31, 2018",,,,,,,,,,,,,
U.S. House,,WV-3,,OCT 28-31,B+Emerson College,328,LV,Ojeda,45.00%,52.00%,Miller,Miller,8
U.S. House,,WV-2,,OCT 28-31,B+Emerson College,344,LV,Sergent,39.00%,47.00%,Mooney,Mooney,7
