date,number_of_polls
05/11/18,4
04/11/18,15
03/11/18,5
02/11/18,7
01/11/18,23
31/10/18,8
30/10/18,17
29/10/18,42
28/10/18,10
27/10/18,7
26/10/18,2
25/10/18,5
24/10/18,15
23/10/18,18
22/10/18,20
21/10/18,16
20/10/18,5
19/10/18,7
18/10/18,7
17/10/18,8
16/10/18,12
15/10/18,20
14/10/18,20
13/10/18,6
12/10/18,1
11/10/18,14
10/10/18,4
09/10/18,8
08/10/18,13
07/10/18,6
06/10/18,0
05/10/18,4
04/10/18,7
03/10/18,17
02/10/18,11
01/10/18,20
30/09/18,18
29/09/18,4
28/09/18,1
27/09/18,8
26/09/18,13
25/09/18,7
24/09/18,9
23/09/18,6
22/09/18,2
21/09/18,3
20/09/18,10
19/09/18,11
18/09/18,6
