FB_el_type,FB_survey_party,FB_week_to_el,Voters_Gender,age_cat,EthnicGroups_EthnicGroup1Desc,CommercialData_Education,Parties_Description,ID
US House,Dem,4,M,55-64,European,HS Diploma - Extremely Likely,Democratic,1
US House,Dem,3,M,55-64,European,HS Diploma - Extremely Likely,Democratic,1
US House,Rep,6,M,25-34,European,Bach Degree - Extremely Likely,Republican,2
US House,Dem,4,M,55-64,European,NA,Democratic,3
US House,Dem,1,M,55-64,European,HS Diploma - Extremely Likely,Democratic,1
US Senate,Rep,3,M,45-54,East and South Asian,Bach Degree - Extremely Likely,Republican,4
US Senate,Dem,6,F,45-54,European,NA,Non-Partisan,5
US Senate,Dem,4,M,45-54,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,6
US House,Dem,0,M,45-54,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,6
US Senate,Dem,5,M,45-54,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,6
US House,Rep,5,M,25-34,European,NA,Non-Partisan,7
US House,Rep,2,M,25-34,European,NA,Non-Partisan,7
US House,Rep,2,M,35-44,European,HS Diploma - Extremely Likely,Republican,8
US House,Rep,5,F,35-44,Hispanic and Portuguese,NA,Democratic,9
US Senate,Dem,6,F,35-44,European,Some College - Likely,Democratic,10
US House,Dem,6,F,55-64,European,Grad Degree - Extremely Likely,Democratic,11
US House,Rep,3,F,55-64,European,Grad Degree - Extremely Likely,Democratic,11
US House,Dem,2,F,55-64,European,Grad Degree - Extremely Likely,Democratic,11
US House,Dem,3,M,25-34,European,NA,Democratic,12
US House,Dem,4,F,25-34,European,NA,Democratic,13
US House,Rep,3,M,55-64,European,Bach Degree - Likely,Republican,14
US House,Dem,1,F,55-64,European,Bach Degree - Extremely Likely,Democratic,15
US House,Rep,3,F,35-44,European,HS Diploma - Extremely Likely,Republican,16
US House,Rep,3,F,35-44,European,HS Diploma - Extremely Likely,Republican,16
US House,Rep,2,F,35-44,European,HS Diploma - Extremely Likely,Republican,16
US House,Rep,1,F,35-44,European,HS Diploma - Extremely Likely,Republican,16
US House,Rep,1,F,35-44,European,HS Diploma - Extremely Likely,Republican,16
US House,Rep,0,F,35-44,European,HS Diploma - Extremely Likely,Republican,16
US House,Rep,0,F,35-44,European,HS Diploma - Extremely Likely,Republican,16
US House,Dem,0,M,65_or_older,European,Grad Degree - Extremely Likely,Democratic,17
US House,Rep,2,M,55-64,Hispanic and Portuguese,HS Diploma - Extremely Likely,Republican,18
US House,Rep,0,M,55-64,Hispanic and Portuguese,HS Diploma - Extremely Likely,Republican,18
US House,Rep,0,M,55-64,Hispanic and Portuguese,HS Diploma - Extremely Likely,Republican,18
US Senate,Dem,4,F,35-44,European,HS Diploma - Likely,Democratic,19
US House,Rep,6,M,35-44,European,Bach Degree - Likely,Democratic,20
US House,Rep,3,F,65_or_older,European,Grad Degree - Extremely Likely,Democratic,21
US House,Dem,3,M,55-64,NA,Bach Degree - Likely,Democratic,22
US House,Dem,4,M,35-44,European,Bach Degree - Likely,Democratic,23
US House,Rep,6,M,25-34,European,Bach Degree - Likely,Democratic,24
US House,Dem,2,F,45-54,European,NA,Democratic,25
US House,Dem,3,F,25-34,European,HS Diploma - Extremely Likely,Democratic,26
US House,Dem,0,M,35-44,European,Bach Degree - Likely,Democratic,23
US Senate,Dem,2,F,45-54,European,NA,Democratic,27
US House,Dem,5,F,65_or_older,European,Bach Degree - Extremely Likely,Republican,28
US House,Dem,4,F,45-54,European,Bach Degree - Likely,Democratic,29
US House,Dem,1,F,65_or_older,European,Bach Degree - Extremely Likely,Republican,28
US Senate,Dem,5,M,45-54,European,NA,Democratic,30
US Senate,Dem,5,M,45-54,European,NA,Democratic,30
US Senate,Dem,0,M,45-54,European,NA,Democratic,30
US House,Rep,6,F,65_or_older,European,NA,Republican,31
US House,Dem,2,F,45-54,European,HS Diploma - Extremely Likely,Democratic,32
US House,Dem,2,F,45-54,European,HS Diploma - Extremely Likely,Democratic,32
US House,Rep,4,F,65_or_older,Hispanic and Portuguese,Grad Degree - Extremely Likely,Republican,33
US House,Dem,4,M,65_or_older,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,34
US House,Dem,6,M,65_or_older,European,Grad Degree - Likely,Democratic,35
US House,Dem,6,M,65_or_older,European,Grad Degree - Likely,Democratic,35
US House,Dem,6,M,65_or_older,European,Grad Degree - Likely,Democratic,35
US House,Rep,2,M,45-54,East and South Asian,Grad Degree - Likely,Republican,36
US House,Rep,2,M,45-54,East and South Asian,Grad Degree - Likely,Republican,36
US House,Dem,2,M,65_or_older,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,34
US House,Dem,4,M,45-54,European,NA,Democratic,37
US House,Dem,6,F,45-54,European,Bach Degree - Likely,Democratic,38
US House,Dem,4,F,45-54,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,39
US House,Rep,3,M,45-54,European,NA,Democratic,37
US House,Rep,0,F,65_or_older,Hispanic and Portuguese,Grad Degree - Extremely Likely,Republican,40
US House,Dem,6,F,55-64,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,41
US House,Dem,3,F,55-64,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,41
US House,Dem,1,F,65_or_older,European,NA,Republican,42
US House,Dem,0,F,65_or_older,European,NA,Republican,42
